gvkey,conm,tic,exchg,cusip,fic,sic,costat,fyear,fyr,datadate,at,lt,sale,ebitda,ppent,dp,che,dvc,ni,dltt,dlc,log_assets,ebitda_margin,asset_tangibility,cash_holdings,non_debt_tax_shield,roa,book_leverage,lev
026341,VOYAGER THERAPEUTICS INC,VYGR,14,92915B106,USA,2836,A,2024,12,2024-12-31,393.05,93.29,80.001,-75.78,47.663,4.731,266.684,,-65.002,36.499,7.227,5.973936830239766,-0.9472381595230059,0.12126447016918966,0.678498918712632,0.012036636560234066,-0.16537845057880676,0.11124793283297289,0.11124793283297289
145024,GLADSTONE CAPITAL CORP,GLAD,14,376535878,USA,6797,A,2020,9,2020-09-30,459.177,225.434,47.959,36.647,,,2.469,25.163,-1.873,221.535,,6.129435756642942,0.7641318626326653,0.010320582740063824,0.005377011479233498,0.00011145476329794645,-0.004079037059783046,0.4824610117667043,0.4824610117667043
179132,ORION GROUP HOLDINGS INC,ORN,11,68628V308,USA,1600,A,2007,12,2007-12-31,133.534,43.45,210.36,42.432,68.746,12.384,12.584,,17.399,,,4.8943561270623785,0.20171135196805476,0.5148201956056135,0.09423817155181452,0.09274042565938263,0.13029640391211228,0.0,0.0
015417,BROWN & BROWN INC,BRO,11,115236101,USA,6411,A,2018,12,2018-12-31,6688.668,3688.1,2014.246,526.67,100.395,22.834,790.464,84.69,344.255,1456.99,50.0,8.8081700301596,0.2614725311605434,0.015009714938759107,0.1181795837377487,0.0034138336661350215,0.051468394006101065,0.2253049486086019,0.2253049486086019
031289,CKF BANCORP INC,CKFB,19,12561J104,USA,6035,I,2010,12,2010-12-31,130.475,116.517,6.686,1.492,1.778,0.134,5.168,0.025,0.256,9.0,6.0,4.871181637529477,0.22315285671552498,0.013627131634412723,0.039609120521172644,0.0010270166698601265,0.001962061697643227,0.11496455259628281,0.11496455259628281
066597,FIRST US BANCSHARES INC,FUSB,14,33744V103,USA,6020,A,2004,12,2004-12-31,586.153,504.24,55.029,25.263,19.77,0.909,13.949,4.631,13.131,64.637,25.941,6.37358084764856,0.45908520961674754,0.033728395145977245,0.02379754091508531,0.0015507896402475122,0.02240200084278337,0.15452961939971305,0.15452961939971305
171059,FORUM ENERGY TECH INC,FET,11,34984V209,USA,3533,A,2022,12,2022-12-31,834.757,527.722,699.913,46.033,120.233,36.978,51.029,,3.712,303.754,9.558,6.727140664532839,0.06576960279349005,0.14403353311203143,0.061130364884631104,0.04429792143102724,0.004446803081615369,0.3753331807939317,0.3753331807939317
024982,LIFECELL CORP,LIFC,14,531927101,USA,3842,I,2003,12,2003-12-31,58.273,5.894,40.249,4.043,7.508,1.965,11.785,,18.672,,,4.065138864298555,0.10044970061367985,0.12884183069346009,0.20223774303708406,0.03372059101127452,0.32042283733461463,0.0,0.0
024533,NATIONAL HEALTH INVESTORS,NHI,11,63633D104,USA,6798,A,2023,12,2023-12-31,2488.48,1214.433,320.39,,2.074,,24.617,156.257,135.654,1059.626,75.425,7.81942736129625,0.11070856853989385,0.0008334404937954091,0.009892384105960265,0.008842549821829221,0.05451279495917186,0.45612221114897444,0.45612221114897444
160163,REDDY ICE HOLDINGS INC,RDDYQ,19,75734R105,USA,2090,I,2008,12,2008-12-31,454.559,453.687,329.298,66.843,213.015,27.511,39.684,18.493,-120.431,390.5,,6.119327718173856,0.20298635278683747,0.4686190351527524,0.08730219839448783,0.060522396432586306,-0.26494030477891756,0.8590743995828923,0.8590743995828923
