gvkey,conm,tic,exchg,cusip,fic,sic,costat,fyear,fyr,datadate,at,lt,sale,ebitda,ppent,dp,che,dvc,ni,dltt,dlc
001004,AAR CORP,AIR,11,000361105,USA,5080,A,1999,5,2000-05-31,740.998,401.483,1024.333,89.031,110.003,18.373,1.241,9.218,35.163,180.447,26.314
001004,AAR CORP,AIR,11,000361105,USA,5080,A,2000,5,2001-05-31,701.854,361.642,874.255,64.367,108.907,18.577,13.809,9.157,18.531,179.987,13.652
001004,AAR CORP,AIR,11,000361105,USA,5080,A,2001,5,2002-05-31,710.199,399.964,638.721,27.207,102.591,22.496,34.522,4.43,-58.939,217.699,42.525
001004,AAR CORP,AIR,11,000361105,USA,5080,A,2002,5,2003-05-31,686.621,391.633,606.337,30.745,166.761,27.172,29.154,0.797,-12.41,164.658,92.256
001004,AAR CORP,AIR,11,000361105,USA,5080,A,2003,5,2004-05-31,709.292,407.608,651.958,47.491,166.137,26.68,41.01,0.0,3.504,248.666,3.392
001004,AAR CORP,AIR,11,000361105,USA,5080,A,2004,5,2005-05-31,732.23,417.486,747.848,61.774,139.137,27.95,50.338,0.0,15.453,227.159,3.745
001010,ACF INDUSTRIES INC,4165A,0,00099V004,USA,3743,I,2000,12,2000-12-31,3794.5,2794.5,443.8,178.7,1453.3,61.7,113.0,0.0,79.9,1866.8,176.1
001010,ACF INDUSTRIES INC,4165A,0,00099V004,USA,3743,I,2001,12,2001-12-31,3723.1,2694.5,366.5,179.6,1532.8,69.4,145.5,,145.7,1788.5,117.0
001010,ACF INDUSTRIES INC,4165A,0,00099V004,USA,3743,I,2002,12,2002-12-31,3702.5,2735.1,313.3,162.0,1574.1,73.4,24.8,,79.7,1771.7,197.0
001010,ACF INDUSTRIES INC,4165A,0,00099V004,USA,3743,I,2003,12,2003-12-31,4832.1,3084.3,2339.1,161.5,2237.4,223.4,698.7,0.1,352.5,1674.7,185.4
001013,ADC TELECOMMUNICATIONS INC,ADCT.1,14,000886309,USA,3661,I,2000,10,2000-10-31,3970.5,1057.8,3287.9,670.1,608.6,146.2,1354.2,0.0,868.1,16.5,28.5
001013,ADC TELECOMMUNICATIONS INC,ADCT.1,14,000886309,USA,3661,I,2001,10,2001-10-31,2499.7,606.3,2402.8,-55.6,614.0,197.8,421.8,0.0,-1287.7,3.0,1.7
001013,ADC TELECOMMUNICATIONS INC,ADCT.1,14,000886309,USA,3661,I,2002,10,2002-10-31,1144.2,412.0,1047.7,-192.4,206.8,104.7,279.4,0.0,-1145.0,10.8,15.7
001013,ADC TELECOMMUNICATIONS INC,ADCT.1,14,000886309,USA,3661,I,2003,10,2003-10-31,1296.9,669.2,773.2,19.9,192.3,59.2,746.7,0.0,-76.7,400.0,8.3
